artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,cluster,context,rank,URL_Couverture_Album
Darude,Sandstorm,225493,False,2001,69,0.528,0.965,11,-7.984,minor,0.0465,0.141,0.985,0.0797,0.587,136.065,pop,3,Sport,10,https://i.scdn.co/image/ab67616d0000b273f9ef39657ba18c612641ee6d
Da Brat,What'chu Like (feat. Tyrese),221160,True,2000,53,0.879,0.681,10,-8.951,minor,0.24,0.017,0.0,0.0669,0.817,99.974,hip hop,1,Détente,25,https://i.scdn.co/image/ab67616d0000b273b0690d521296ed0c835d1dda
Moloko,The Time Is Now,318280,False,2000,54,0.682,0.743,9,-10.644,minor,0.165,0.35,0.000129,0.277,0.546,127.962,pop,3,Sport,24,https://i.scdn.co/image/ab67616d0000b273c4cb6e3da4c16c3c0f1db7c3
Chicane,Don't Give Up,210786,False,2016,47,0.644,0.72,10,-9.635,minor,0.0419,0.00145,0.504,0.0839,0.53,132.017,dance/electronic,3,Sport,31,https://i.scdn.co/image/ab67616d0000b27333e3ea63ccac169a9ab8a009
DMX,Party Up,268866,True,1999,71,0.51,0.931,11,-3.302,major,0.347,0.0738,0.0,0.5,0.53,201.936,hip hop,3,Sport,6,https://i.scdn.co/image/ab67616d0000b273581d9fcb8a2e6d600d59b819
Debelah Morgan,Dance with Me,220106,False,2000,49,0.85,0.674,7,-7.981,minor,0.0373,0.309,0.000645,0.0356,0.74,115.005,pop,1,Détente,28,https://i.scdn.co/image/ab67616d0000b2732bd34dbce65d0c7c978a5087
Madonna,Music,225973,False,2000,58,0.736,0.802,7,-8.527,major,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop,1,Détente,20,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
Ruff Endz,No More,242560,False,2000,52,0.839,0.641,10,-5.669,minor,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,r&b,1,Détente,26,https://i.scdn.co/image/ab67616d0000b273a32db0f2a1933fa9f8c1ca97
Britney Spears,Born to Make You Happy,243533,False,1999,58,0.633,0.922,11,-4.842,minor,0.0454,0.116,0.000465,0.071,0.686,84.11,pop,3,Sport,18,https://i.scdn.co/image/ab67616d0000b27336cf58e3e7cf36a145b1da18
Montell Jordan,Get It On Tonite,276266,False,1999,59,0.813,0.491,10,-9.923,minor,0.077,0.241,4.61e-05,0.0817,0.868,99.008,hip hop,1,Détente,17,https://i.scdn.co/image/ab67616d0000b273f99077592b070cd1e1736b48
Kylie Minogue,Spinning Around,207866,False,2000,55,0.761,0.662,6,-7.645,minor,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,pop,3,Sport,23,https://i.scdn.co/image/ab67616d0000b2737c5c2379dc83f0bb025de3ee
JAY-Z,Big Pimpin',283066,True,1999,69,0.88,0.814,11,-6.307,minor,0.14,0.168,0.00672,0.0584,0.942,138.083,hip hop,1,Détente,8,https://i.scdn.co/image/ab67616d0000b273188099f301c32148ab07a557
LeAnn Rimes,I Need You,229826,False,2001,61,0.478,0.736,7,-7.124,major,0.0367,0.02,9.58e-05,0.118,0.564,144.705,pop,3,Sport,18,https://i.scdn.co/image/ab67616d0000b2735cf523cc3dd38a682bf9cd7e
Avant,Separated,255600,False,2000,55,0.798,0.48,0,-5.564,major,0.0276,0.247,0.0,0.237,0.643,108.241,pop,3,Sport,23,https://i.scdn.co/image/ab67616d0000b273c70de3104d269ce0bcf87540
Enrique Iglesias,Be With You,219360,False,1999,54,0.683,0.866,1,-5.436,minor,0.0329,0.0395,0.00161,0.0483,0.542,121.996,pop,3,Sport,21,https://i.scdn.co/image/ab67616d0000b273d7e8f8a721c820d787f8e940
Toni Braxton,He Wasn't Man Enough,261933,False,2000,66,0.739,0.947,11,-1.916,minor,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,pop,1,Détente,13,https://i.scdn.co/image/ab67616d0000b273126720399a6b06e1c6bd46c6
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,False,2000,36,0.852,0.75,8,-5.153,major,0.168,0.434,0.0,0.265,0.934,72.016,hip hop,1,Détente,30,https://i.scdn.co/image/ab67616d0000b27324edcf6461067ac8a43a4dd1
Dr. Dre,Forgot About Dre,222293,True,1999,79,0.924,0.74,8,-1.299,major,0.0774,0.0827,0.0,0.163,0.621,133.974,hip hop,1,Détente,2,https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5
Missy Elliott,Hot Boyz,215466,True,1998,49,0.727,0.445,1,-11.241,major,0.291,0.339,0.0,0.18,0.527,81.125,hip hop,3,Sport,1,https://i.scdn.co/image/ab67616d0000b273a8fa4a75357e83f95cfaab3b
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,False,1999,68,0.63,0.625,6,-5.088,minor,0.0252,0.231,0.0,0.0765,0.683,167.998,pop,3,Sport,9,https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b
Samantha Mumba,Gotta Tell You,201946,False,2018,43,0.729,0.632,0,-8.75,minor,0.0279,0.191,0.0,0.166,0.774,109.981,pop,1,Détente,29,https://i.scdn.co/image/ab67616d0000b2732dce2ff2d684c4b0fd254b16
